Breach Submission Date,Country,Covered Entity Type,Individuals Affected,Breach Type,Breache location (Asset),Year
07/21/2022,US,Healthcare Provider,11938,Hacking/IT Incident,Network Server,2022
07/20/2022,US,Health Plan,4447,Hacking/IT Incident,Network Server,2022
07/20/2022,US,Business Associate,37146,Unauthorized Access/Disclosure,Paper/Films,2022
07/20/2022,US,Healthcare Provider,17161,Hacking/IT Incident,Email,2022
07/19/2022,US,Healthcare Provider,362833,Hacking/IT Incident,Network Server,2022
07/19/2022,US,Health Plan,8700,Hacking/IT Incident,Network Server,2022
07/19/2022,US,Healthcare Provider,1178,Unauthorized Access/Disclosure,Email,2022
07/15/2022,US,Healthcare Provider,2236,Hacking/IT Incident,Network Server,2022
07/15/2022,US,Business Associate,6000,Unauthorized Access/Disclosure,Other Portable Electronic Device,2022
07/15/2022,US,Healthcare Provider,1201,Loss,Laptop,2022
07/15/2022,US,Healthcare Provider,28913,Hacking/IT Incident,Network Server,2022
07/15/2022,US,Healthcare Provider,2748,Hacking/IT Incident,Network Server,2022
07/15/2022,US,Health Plan,75010,Theft,Other Portable Electronic Device,2022
07/15/2022,US,Healthcare Provider,20734,Hacking/IT Incident,Electronic Medical Record,2022
07/14/2022,US,Healthcare Provider,1056,Hacking/IT Incident,Network Server,2022
07/13/2022,US,Business Associate,183254,Hacking/IT Incident,Network Server,2022
07/13/2022,US,Business Associate,197730,Hacking/IT Incident,Network Server,2022
07/13/2022,US,Business Associate,57394,Hacking/IT Incident,Electronic Medical Record,2022
07/12/2022,US,Healthcare Provider,258411,Hacking/IT Incident,Network Server,2022
07/12/2022,US,Health Plan,1506,Hacking/IT Incident,Network Server,2022
07/12/2022,US,Healthcare Provider,17468,Hacking/IT Incident,Electronic Medical Record,2022
07/11/2022,US,Healthcare Provider,83969,Hacking/IT Incident,Network Server,2022
07/08/2022,US,Health Plan,850,Theft,Paper/Films,2022
07/08/2022,US,Healthcare Provider,40793,Hacking/IT Incident,Network Server,2022
07/08/2022,US,Business Associate,878,Hacking/IT Incident,Network Server,2022
07/08/2022,US,Healthcare Provider,48957,Hacking/IT Incident,Network Server,2022
07/08/2022,US,Healthcare Provider,2513,Hacking/IT Incident,Network Server,2022
07/08/2022,US,Health Plan,1698,Hacking/IT Incident,Other,2022
07/08/2022,US,Healthcare Provider,2876,Hacking/IT Incident,Electronic Medical Record,2022
07/08/2022,US,Business Associate,1089,Hacking/IT Incident,Network Server,2022
07/07/2022,US,Business Associate,1262,Unauthorized Access/Disclosure,Paper/Films,2022
07/07/2022,US,Healthcare Provider,934,Unauthorized Access/Disclosure,Desktop Computer,2022
07/05/2022,US,Healthcare Provider,46142,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,2400,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,1907,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,958,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,1212,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,1041,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,1652,Unauthorized Access/Disclosure,Electronic Medical Record,2022
07/05/2022,US,Healthcare Provider,689,Hacking/IT Incident,Network Server,2022
07/05/2022,US,Healthcare Provider,1159,Hacking/IT Incident,Network Server,2022
07/01/2022,US,Business Associate,43523,Hacking/IT Incident,Email,2022
07/01/2022,US,Healthcare Provider,4692,Hacking/IT Incident,Electronic Medical Record,2022
07/01/2022,US,Business Associate,130922,Hacking/IT Incident,Network Server,2022
07/01/2022,US,Healthcare Provider,15062,Hacking/IT Incident,Network Server,2022
07/01/2022,US,Business Associate,1918941,Hacking/IT Incident,Network Server,2022
06/30/2022,US,Healthcare Provider,17481,Hacking/IT Incident,Network Server,2022
06/30/2022,US,Healthcare Provider,645,Hacking/IT Incident,Email,2022
06/30/2022,US,Health Plan,511,Unauthorized Access/Disclosure,Other,2022
06/30/2022,US,Healthcare Provider,144104,Hacking/IT Incident,Network Server,2022
06/30/2022,US,Healthcare Provider,1369,Hacking/IT Incident,Email,2022
06/30/2022,US,Business Associate,628,Hacking/IT Incident,Network Server,2022
06/29/2022,US,Business Associate,1145,Hacking/IT Incident,Network Server,2022
06/29/2022,US,Healthcare Provider,904,Hacking/IT Incident,Email,2022
06/28/2022,US,Healthcare Provider,30669,Hacking/IT Incident,Network Server,2022
06/28/2022,US,Healthcare Provider,7216,Hacking/IT Incident,Network Server,2022
06/28/2022,US,Business Associate,8258,Hacking/IT Incident,Network Server,2022
06/28/2022,US,Business Associate,3527,Hacking/IT Incident,Network Server,2022
06/28/2022,US,Healthcare Provider,92361,Hacking/IT Incident,Electronic Medical Record,2022
06/27/2022,US,Business Associate,735,Hacking/IT Incident,Network Server,2022
06/27/2022,US,Business Associate,1267,Hacking/IT Incident,Network Server,2022
06/24/2022,US,Healthcare Provider,1574,Unauthorized Access/Disclosure,Email,2022
06/24/2022,US,Healthcare Provider,6843,Hacking/IT Incident,Email,2022
06/24/2022,US,Healthcare Provider,27000,Unauthorized Access/Disclosure,Other,2022
06/22/2022,US,Healthcare Provider,1300,Hacking/IT Incident,Network Server,2022
06/21/2022,US,Healthcare Provider,1000,Hacking/IT Incident,Network Server,2022
06/21/2022,US,Healthcare Provider,12602,Hacking/IT Incident,Network Server,2022
06/20/2022,US,Healthcare Provider,41041,Hacking/IT Incident,Electronic Medical Record,2022
06/20/2022,US,Healthcare Provider,26000,Hacking/IT Incident,Network Server,2022
06/17/2022,US,Healthcare Provider,19496,Unauthorized Access/Disclosure,Other,2022
06/17/2022,US,Healthcare Provider,43263,Hacking/IT Incident,Electronic Medical Record,2022
06/17/2022,US,Healthcare Provider,800,Improper Disposal,Paper/Films,2022
06/17/2022,US,Healthcare Provider,6891,Hacking/IT Incident,Network Server,2022
06/17/2022,US,Healthcare Provider,266170,Hacking/IT Incident,Network Server,2022
06/17/2022,US,Healthcare Provider,13412,Hacking/IT Incident,Electronic Medical Record,2022
06/17/2022,US,Healthcare Provider,5007,Hacking/IT Incident,Network Server,2022
06/17/2022,US,Health Plan,880,Hacking/IT Incident,Email,2022
06/16/2022,US,Healthcare Provider,6200,Theft,Other,2022
06/16/2022,US,Health Plan,9769,Unauthorized Access/Disclosure,Network Server,2022
06/16/2022,US,Healthcare Provider,29237,Hacking/IT Incident,Electronic Medical Record,2022
06/16/2022,US,Healthcare Provider,68739,Hacking/IT Incident,Electronic Medical Record,2022
06/16/2022,US,Health Plan,13344,Hacking/IT Incident,Network Server,2022
06/15/2022,US,Healthcare Provider,1243031,Hacking/IT Incident,Network Server,2022
06/15/2022,US,Healthcare Provider,744,Hacking/IT Incident,Network Server,2022
06/15/2022,US,Healthcare Provider,54239,Hacking/IT Incident,Network Server,2022
06/15/2022,US,Healthcare Provider,763,Theft,Laptop,2022
06/14/2022,US,Healthcare Provider,86101,Hacking/IT Incident,Electronic Medical Record,2022
06/14/2022,US,Healthcare Provider,17732,Hacking/IT Incident,Electronic Medical Record,2022
06/12/2022,US,Business Associate,19796,Hacking/IT Incident,Network Server,2022
06/10/2022,US,Healthcare Provider,23993,Hacking/IT Incident,Electronic Medical Record,2022
06/10/2022,US,Business Associate,793283,Hacking/IT Incident,Network Server,2022
06/10/2022,US,Healthcare Provider,500,Hacking/IT Incident,Email,2022
06/10/2022,US,Healthcare Provider,58462,Hacking/IT Incident,Electronic Medical Record,2022
06/09/2022,US,Healthcare Provider,737448,Hacking/IT Incident,Network Server,2022
06/09/2022,US,Business Associate,172450,Hacking/IT Incident,Network Server,2022
06/09/2022,US,Healthcare Provider,3500,Hacking/IT Incident,Network Server,2022
06/09/2022,US,Healthcare Provider,2763,Hacking/IT Incident,Network Server,2022
06/09/2022,US,Healthcare Provider,32770,Hacking/IT Incident,Network Server,2022
06/08/2022,US,Healthcare Provider,1333,Hacking/IT Incident,Network Server,2022
06/08/2022,US,Healthcare Provider,3300,Theft,Laptop,2022
06/08/2022,US,Healthcare Provider,9000,Hacking/IT Incident,Network Server,2022
06/07/2022,US,Healthcare Provider,19625,Hacking/IT Incident,Email,2022
06/07/2022,US,Business Associate,6948,Hacking/IT Incident,Email,2022
06/07/2022,US,Healthcare Provider,6695,Hacking/IT Incident,Email,2022
06/07/2022,US,Healthcare Provider,1290104,Hacking/IT Incident,Other,2022
06/06/2022,US,Healthcare Provider,1126,Theft,Paper/Films,2022
06/06/2022,US,Healthcare Provider,1658,Hacking/IT Incident,Network Server,2022
06/06/2022,US,Healthcare Provider,175000,Hacking/IT Incident,Network Server,2022
06/04/2022,US,Health Plan,795,Loss,Paper/Films,2022
06/03/2022,US,Healthcare Provider,33930,Hacking/IT Incident,Electronic Medical Record,2022
06/03/2022,US,Healthcare Provider,69589,Hacking/IT Incident,Email,2022
06/02/2022,US,Business Associate,77652,Hacking/IT Incident,Network Server,2022
06/02/2022,US,Healthcare Provider,874,Unauthorized Access/Disclosure,Paper/Films,2022
06/02/2022,US,Healthcare Provider,1986,Hacking/IT Incident,Network Server,2022
06/01/2022,US,Healthcare Provider,926,Improper Disposal,Paper/Films,2022
06/01/2022,US,Healthcare Provider,8000,Hacking/IT Incident,Network Server,2022
06/01/2022,US,Healthcare Provider,1337,Hacking/IT Incident,Electronic Medical Record,2022
06/01/2022,US,Healthcare Provider,2646,Hacking/IT Incident,Electronic Medical Record,2022
05/31/2022,US,Business Associate,6280,Hacking/IT Incident,Email,2022
05/31/2022,US,Healthcare Provider,13461,Hacking/IT Incident,Electronic Medical Record,2022
05/31/2022,US,Healthcare Provider,1523,Hacking/IT Incident,Network Server,2022
05/27/2022,US,Healthcare Provider,50631,Hacking/IT Incident,Electronic Medical Record,2022
05/27/2022,US,Healthcare Provider,57047,Hacking/IT Incident,Electronic Medical Record,2022
05/27/2022,US,Healthcare Provider,19377,Hacking/IT Incident,Electronic Medical Record,2022
05/27/2022,US,Healthcare Provider,6000,Hacking/IT Incident,Email,2022
05/27/2022,US,Business Associate,2000000,Hacking/IT Incident,Network Server,2022
05/27/2022,US,Healthcare Provider,48587,Hacking/IT Incident,Electronic Medical Record,2022
05/27/2022,US,Healthcare Provider,4441,Unauthorized Access/Disclosure,Electronic Medical Record,2022
05/27/2022,US,Healthcare Provider,2568,Hacking/IT Incident,Email,2022
05/27/2022,US,Business Associate,500,Hacking/IT Incident,Email,2022
05/27/2022,US,Healthcare Provider,8620,Hacking/IT Incident,Network Server,2022
05/27/2022,US,Healthcare Provider,27486,Hacking/IT Incident,Network Server,2022
05/27/2022,US,Healthcare Provider,5000,Hacking/IT Incident,Email,2022
05/26/2022,US,Health Plan,1943,Hacking/IT Incident,Network Server,2022
05/26/2022,US,Business Associate,127740,Hacking/IT Incident,Network Server,2022
05/26/2022,US,Business Associate,68957,Hacking/IT Incident,Network Server,2022
05/25/2022,US,Healthcare Provider,500,Hacking/IT Incident,Email,2022
05/25/2022,US,Healthcare Provider,38000,Hacking/IT Incident,Electronic Medical Record,2022
05/25/2022,US,Healthcare Provider,2820,Hacking/IT Incident,Email,2022
05/24/2022,US,Healthcare Provider,33619,Hacking/IT Incident,Network Server,2022
05/24/2022,US,Healthcare Provider,86562,Hacking/IT Incident,Network Server,2022
05/23/2022,US,Healthcare Provider,29972,Hacking/IT Incident,Network Server,2022
05/23/2022,US,Health Plan,500,Hacking/IT Incident,Email,2022
05/23/2022,US,Healthcare Provider,28332,Hacking/IT Incident,Email,2022
05/23/2022,US,Healthcare Provider,601,Unauthorized Access/Disclosure,Electronic Medical Record,2022
05/20/2022,US,Healthcare Provider,7766,Hacking/IT Incident,Email,2022
05/20/2022,US,Healthcare Provider,500,Unauthorized Access/Disclosure,Electronic Medical Record,2022
05/20/2022,US,Business Associate,17400,Hacking/IT Incident,Network Server,2022
05/20/2022,US,Healthcare Provider,4075,Hacking/IT Incident,Email,2022
05/20/2022,US,Healthcare Provider,90000,Hacking/IT Incident,Email,2022
05/20/2022,US,Healthcare Provider,529,Theft,Paper/Films,2022
05/20/2022,US,Healthcare Provider,1056,Unauthorized Access/Disclosure,Email,2022
05/18/2022,US,Health Plan,854913,Hacking/IT Incident,Network Server,2022
05/18/2022,US,Healthcare Provider,14273,Hacking/IT Incident,Network Server,2022
05/17/2022,US,Healthcare Provider,13148,Hacking/IT Incident,Email,2022
05/17/2022,US,Healthcare Provider,6701,Hacking/IT Incident,Email,2022
05/16/2022,US,Business Associate,114979,Hacking/IT Incident,Network Server,2022
05/16/2022,US,Health Plan,792,Unauthorized Access/Disclosure,Paper/Films,2022
05/16/2022,US,Health Plan,11399,Unauthorized Access/Disclosure,Paper/Films,2022
05/16/2022,US,Health Plan,1196,Unauthorized Access/Disclosure,Paper/Films,2022
05/13/2022,US,Health Plan,2008,Hacking/IT Incident,Network Server,2022
05/13/2022,US,Health Plan,119513,Hacking/IT Incident,Network Server,2022
05/13/2022,US,Healthcare Provider,92311,Hacking/IT Incident,Network Server,2022
05/12/2022,US,Business Associate,11288,Hacking/IT Incident,Network Server,2022
05/11/2022,US,Healthcare Provider,606,Hacking/IT Incident,Network Server,2022
05/11/2022,US,Healthcare Provider,1403,Hacking/IT Incident,Network Server,2022
05/11/2022,US,Health Plan,16838,Unauthorized Access/Disclosure,Paper/Films,2022
05/10/2022,US,Healthcare Provider,3494,Hacking/IT Incident,Email,2022
05/10/2022,US,Healthcare Provider,25318,Hacking/IT Incident,Network Server,2022
05/09/2022,US,Healthcare Provider,900,Theft,Laptop,2022
05/09/2022,US,Healthcare Provider,81244,Hacking/IT Incident,Network Server,2022
05/09/2022,US,Health Plan,5048,Unauthorized Access/Disclosure,Paper/Films,2022
05/09/2022,US,Healthcare Provider,38239,Hacking/IT Incident,Network Server,2022
05/06/2022,US,Healthcare Provider,1781,Hacking/IT Incident,Email,2022
05/06/2022,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2022
05/06/2022,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2022
05/06/2022,US,Healthcare Provider,4676,Hacking/IT Incident,Email,2022
05/06/2022,US,Health Plan,959,Unauthorized Access/Disclosure,Laptop,2022
05/06/2022,US,Healthcare Provider,1720,Unauthorized Access/Disclosure,Email,2022
05/06/2022,US,Healthcare Provider,5122,Hacking/IT Incident,Email,2022
05/06/2022,US,Business Associate,1584,Unauthorized Access/Disclosure,Paper/Films,2022
05/05/2022,US,Healthcare Provider,149940,Theft,Paper/Films,2022
05/04/2022,US,Healthcare Provider,1085,Hacking/IT Incident,Network Server,2022
05/04/2022,US,Healthcare Provider,41889,Hacking/IT Incident,Network Server,2022
05/03/2022,US,Healthcare Provider,986,Hacking/IT Incident,Network Server,2022
05/03/2022,US,Healthcare Provider,2688,Hacking/IT Incident,Email,2022
05/03/2022,US,Business Associate,2641,Loss,Paper/Films,2022
05/02/2022,US,Healthcare Provider,28024,Hacking/IT Incident,Network Server,2022
05/02/2022,US,Business Associate,744,Unauthorized Access/Disclosure,Laptop,2022
05/02/2022,US,Healthcare Provider,1370,Unauthorized Access/Disclosure,Desktop Computer,2022
04/29/2022,US,Healthcare Provider,3684,Hacking/IT Incident,Electronic Medical Record,2022
04/29/2022,US,Healthcare Provider,1072,Hacking/IT Incident,Network Server,2022
04/29/2022,US,Healthcare Provider,260740,Hacking/IT Incident,Network Server,2022
04/29/2022,US,Healthcare Provider,26333,Hacking/IT Incident,Electronic Medical Record,2022
04/29/2022,US,Healthcare Provider,14984,Hacking/IT Incident,Electronic Medical Record,2022
04/28/2022,US,Healthcare Provider,7600,Hacking/IT Incident,Email,2022
04/28/2022,US,Healthcare Provider,194035,Hacking/IT Incident,Network Server,2022
04/28/2022,US,Healthcare Provider,8000,Hacking/IT Incident,Network Server,2022
04/28/2022,US,Healthcare Provider,500,Hacking/IT Incident,Email,2022
04/28/2022,US,Healthcare Provider,23400,Hacking/IT Incident,Network Server,2022
04/27/2022,US,Healthcare Provider,53818,Hacking/IT Incident,Other,2022
04/27/2022,US,Healthcare Provider,20651,Hacking/IT Incident,Network Server,2022
04/26/2022,US,Healthcare Provider,15136,Hacking/IT Incident,Network Server,2022
04/26/2022,US,Business Associate,1035,Hacking/IT Incident,Email,2022
04/25/2022,US,Healthcare Provider,345353,Hacking/IT Incident,Network Server,2022
04/22/2022,US,Healthcare Provider,20533,Hacking/IT Incident,Network Server,2022
04/22/2022,US,Healthcare Provider,3717,Unauthorized Access/Disclosure,Electronic Medical Record,2022
04/22/2022,US,Healthcare Provider,1322,Hacking/IT Incident,Network Server,2022
04/22/2022,US,Healthcare Provider,227943,Hacking/IT Incident,Network Server,2022
04/22/2022,US,Business Associate,897,Loss,Other Portable Electronic Device,2022
04/22/2022,US,Business Associate,616,Unauthorized Access/Disclosure,Laptop,2022
04/21/2022,US,Health Plan,727,Hacking/IT Incident,Network Server,2022
04/21/2022,US,Health Plan,875,Hacking/IT Incident,Network Server,2022
04/20/2022,US,Healthcare Provider,5129,Hacking/IT Incident,Email,2022
04/20/2022,US,Health Plan,89955,Hacking/IT Incident,Email,2022
04/20/2022,US,Healthcare Provider,9969,Hacking/IT Incident,Email,2022
04/19/2022,US,Healthcare Provider,5944,Hacking/IT Incident,Network Server,2022
04/19/2022,US,Healthcare Provider,10502,Hacking/IT Incident,Email,2022
04/18/2022,US,Healthcare Provider,59872,Hacking/IT Incident,Email,2022
04/18/2022,US,Healthcare Provider,2369,Hacking/IT Incident,Email,2022
04/15/2022,US,Business Associate,1625,Unauthorized Access/Disclosure,Paper/Films,2022
04/15/2022,US,Business Associate,745,Unauthorized Access/Disclosure,Paper/Films,2022
04/15/2022,US,Business Associate,8015,Unauthorized Access/Disclosure,Paper/Films,2022
04/15/2022,US,Healthcare Provider,794,Unauthorized Access/Disclosure,Electronic Medical Record,2022
04/14/2022,US,Healthcare Provider,1186,Hacking/IT Incident,Other,2022
04/14/2022,US,Healthcare Provider,24029,Hacking/IT Incident,Network Server,2022
04/14/2022,US,Healthcare Provider,52224,Hacking/IT Incident,Email,2022
04/14/2022,US,Healthcare Provider,1115,Improper Disposal,Paper/Films,2022
04/13/2022,US,Healthcare Provider,15401,Theft,Laptop,2022
04/12/2022,US,Business Associate,1226,Hacking/IT Incident,Network Server,2022
04/11/2022,US,Healthcare Provider,510574,Hacking/IT Incident,Network Server,2022
04/11/2022,US,Business Associate,900,Unauthorized Access/Disclosure,Paper/Films,2022
04/11/2022,US,Health Plan,502,Unauthorized Access/Disclosure,Paper/Films,2022
04/11/2022,US,Business Associate,5852,Hacking/IT Incident,Network Server,2022
04/11/2022,US,Health Plan,9196,Hacking/IT Incident,Network Server,2022
04/11/2022,US,Healthcare Provider,1748,Unauthorized Access/Disclosure,Electronic Medical Record,2022
04/08/2022,US,Healthcare Provider,13000,Hacking/IT Incident,Network Server,2022
04/08/2022,US,Healthcare Provider,4295,Hacking/IT Incident,Email,2022
04/08/2022,US,Healthcare Provider,24000,Theft,Laptop,2022
04/08/2022,US,Healthcare Provider,30417,Hacking/IT Incident,Email,2022
04/07/2022,US,Healthcare Provider,501,Hacking/IT Incident,Network Server,2022
04/07/2022,US,Health Plan,716,Unauthorized Access/Disclosure,Network Server,2022
04/07/2022,US,Healthcare Provider,2292,Hacking/IT Incident,Network Server,2022
04/06/2022,US,Business Associate,7147,Hacking/IT Incident,Email,2022
04/06/2022,US,Health Plan,695,Unauthorized Access/Disclosure,Network Server,2022
04/06/2022,US,Healthcare Provider,29892,Hacking/IT Incident,Electronic Medical Record,2022
04/05/2022,US,Health Plan,820,Unauthorized Access/Disclosure,Paper/Films,2022
04/05/2022,US,Business Associate,1118,Hacking/IT Incident,Email,2022
04/05/2022,US,Healthcare Provider,23104,Hacking/IT Incident,Email,2022
03/31/2022,US,Healthcare Provider,166601,Hacking/IT Incident,Network Server,2022
03/30/2022,US,Healthcare Provider,3901,Hacking/IT Incident,Network Server,2022
03/29/2022,US,Healthcare Provider,46673,Theft,Other Portable Electronic Device,2022
03/28/2022,US,Health Plan,85282,Hacking/IT Incident,Network Server,2022
03/28/2022,US,Healthcare Provider,2000,Hacking/IT Incident,Network Server,2022
03/28/2022,US,Healthcare Provider,318379,Hacking/IT Incident,Network Server,2022
03/28/2022,US,Healthcare Provider,54000,Hacking/IT Incident,Email,2022
03/25/2022,US,Healthcare Provider,12877,Hacking/IT Incident,Email,2022
03/25/2022,US,Healthcare Provider,312000,Hacking/IT Incident,Network Server,2022
03/25/2022,US,Healthcare Provider,1000,Hacking/IT Incident,Network Server,2022
03/25/2022,US,Healthcare Provider,502869,Hacking/IT Incident,Email,2022
03/23/2022,US,Business Associate,56427,Hacking/IT Incident,Network Server,2022
03/23/2022,US,Healthcare Provider,2803,Hacking/IT Incident,Email,2022
03/21/2022,US,Healthcare Provider,190209,Hacking/IT Incident,Network Server,2022
03/19/2022,US,Healthcare Provider,501,Hacking/IT Incident,Email,2022
03/18/2022,US,Healthcare Provider,43071,Hacking/IT Incident,Network Server,2022
03/18/2022,US,Healthcare Provider,3912,Hacking/IT Incident,Network Server,2022
03/18/2022,US,Healthcare Provider,244174,Hacking/IT Incident,Network Server,2022
03/17/2022,US,Healthcare Provider,28725,Hacking/IT Incident,Email,2022
03/15/2022,US,Healthcare Provider,188236,Hacking/IT Incident,Network Server,2022
03/14/2022,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2022
03/14/2022,US,Healthcare Provider,2733,Hacking/IT Incident,Email,2022
03/14/2022,US,Healthcare Provider,1541,Hacking/IT Incident,Network Server,2022
03/11/2022,US,Healthcare Provider,17578,Hacking/IT Incident,Network Server,2022
03/11/2022,US,Health Plan,6123,Hacking/IT Incident,Network Server,2022
03/11/2022,US,Health Plan,13156,Hacking/IT Incident,Network Server,2022
03/11/2022,US,Healthcare Provider,85635,Hacking/IT Incident,Network Server,2022
03/11/2022,US,Health Plan,67147,Hacking/IT Incident,Network Server,2022
03/10/2022,US,Healthcare Provider,14203,Hacking/IT Incident,Email,2022
03/10/2022,US,Healthcare Provider,92453,Hacking/IT Incident,Network Server,2022
03/10/2022,US,Business Associate,810,Unauthorized Access/Disclosure,Network Server,2022
03/10/2022,US,Business Associate,1955,Unauthorized Access/Disclosure,Network Server,2022
03/09/2022,US,Business Associate,38418,Hacking/IT Incident,Network Server,2022
03/08/2022,US,Health Plan,1682,Unauthorized Access/Disclosure,Paper/Films,2022
03/07/2022,US,Healthcare Provider,83705,Hacking/IT Incident,Network Server,2022
03/06/2022,US,Healthcare Provider,500,Hacking/IT Incident,Network Server,2022
03/04/2022,US,Healthcare Provider,287652,Hacking/IT Incident,Network Server,2022
03/04/2022,US,Healthcare Provider,86379,Hacking/IT Incident,Network Server,2022
03/04/2022,US,Healthcare Provider,2575,Hacking/IT Incident,Email,2022
03/04/2022,US,Healthcare Provider,1494,Hacking/IT Incident,Electronic Medical Record,2022
03/03/2022,US,Healthcare Provider,2921,Hacking/IT Incident,Email,2022
03/03/2022,US,Healthcare Provider,339471,Hacking/IT Incident,Network Server,2022
03/02/2022,US,Healthcare Provider,10324,Hacking/IT Incident,Network Server,2022
03/01/2022,US,Health Plan,864,Hacking/IT Incident,Network Server,2022
02/28/2022,US,Healthcare Provider,492861,Hacking/IT Incident,Network Server,2022
02/28/2022,US,Business Associate,4270,Hacking/IT Incident,Email,2022
02/25/2022,US,Healthcare Provider,52632,Hacking/IT Incident,Email,2022
02/25/2022,US,Healthcare Provider,3987,Hacking/IT Incident,Network Server,2022
02/25/2022,US,Healthcare Provider,1858,Hacking/IT Incident,Network Server,2022
02/25/2022,US,Healthcare Provider,4500,Loss,Network Server,2022
02/25/2022,US,Healthcare Provider,228000,Hacking/IT Incident,Electronic Medical Record,2022
02/25/2022,US,Healthcare Provider,25745,Hacking/IT Incident,Network Server,2022
02/24/2022,US,Healthcare Provider,12230,Hacking/IT Incident,Email,2022
02/24/2022,US,Healthcare Provider,10291,Unauthorized Access/Disclosure,Electronic Medical Record,2022
02/23/2022,US,Healthcare Provider,15788,Hacking/IT Incident,Email,2022
